Position,"Track Name",Artist,Streams,URL
1,Closer,"The Chainsmokers",1574733,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
2,"Eu Sei de Cor - Ao Vivo | Acústico","Marília Mendonça",1371356,https://open.spotify.com/track/45wqPwIH4A5cr2IyyD4WKf
3,"Let Me Love You","DJ Snake",1174934,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
4,"Cold Water (feat. Justin Bieber & MØ)","Major Lazer",1166423,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p
5,"Medo Bobo - Ao Vivo","Maiara & Maraisa",1160515,https://open.spotify.com/track/2CW04trIoYMbroZWDzPAjs
6,"Sim ou não (Participação especial Maluma)",Anitta,1103411,https://open.spotify.com/track/4FxumkF81ICxITeqxx4nK9
7,"10% - Ao Vivo","Maiara & Maraisa",1076270,https://open.spotify.com/track/2wFnRPjuqwNySFiK0Qfg8L
8,Starboy,"The Weeknd",1021414,https://open.spotify.com/track/7lQqaqZu0vjxzpdATOIsDt
9,"Don't Wanna Know","Maroon 5",1000846,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
10,"Decide Aí - Na Praia / Ao Vivo","Matheus & Kauan",981343,https://open.spotify.com/track/0jIitZeIQRTaZgFQf2WpGK
11,"Hear Me Now",Alok,961589,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON
12,"Meu Coração Deu PT - Ao Vivo","Wesley Safadão",954590,https://open.spotify.com/track/6zCqeUUqLb2CapBmVwAHll
13,"24K Magic","Bruno Mars",952480,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
14,"My Way","Calvin Harris",948502,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm
15,"Eu, Você, O Mar e Ela","Luan Santana",921930,https://open.spotify.com/track/000xYdQfIZ4pDmBGzQalKU
16,"Side To Side","Ariana Grande",915240,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz
17,"50 Reais","Naiara Azevedo",914017,https://open.spotify.com/track/2DAGCHu5aoo2FOjmtU9ojo
18,"One Dance",Drake,897141,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
19,"The Greatest",Sia,893622,https://open.spotify.com/track/6bLopGnirdrilrpdVB6Um1
20,"Infiel - Ao Vivo","Marília Mendonça",873163,https://open.spotify.com/track/38MpAndIjGAyVdcC6npX95
21,"Como Faz Com Ela - Ao Vivo","Marília Mendonça",859001,https://open.spotify.com/track/2Gvn46nwyQhUnQiFhlP7WX
22,"Paredes - Ao Vivo","Jorge & Mateus",856887,https://open.spotify.com/track/2GfxgssRHvY1azHtaRqKoK
23,"E Essa Boca Aí? - Ao Vivo","Bruninho & Davi",848108,https://open.spotify.com/track/0Kr77AosR2k944IhHm8zhH
24,"O Nosso Santo Bateu - Na Praia / Ao Vivo","Matheus & Kauan",793678,https://open.spotify.com/track/6SwI4OplF8m5NH8wHKIps8
25,"In the Name of Love","Martin Garrix",781112,https://open.spotify.com/track/23L5CiUhw2jV1OIMwthR3S
26,Tumbalatum,"Mc Kevinho",765188,https://open.spotify.com/track/4aAq1afusFG6jRiOSHQZvN
27,"Black Beatles","Rae Sremmurd",737991,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo
28,"Louca de Saudade - Ao Vivo","Jorge & Mateus",736938,https://open.spotify.com/track/2InJDvDcA4RXEeA9njdibl
29,"Treat You Better","Shawn Mendes",709574,https://open.spotify.com/track/76t5B0ttSAje5KHmQbv88t
30,"Ou Some Ou Soma - Ao Vivo","Jorge & Mateus",707655,https://open.spotify.com/track/3dRBzTOu9polrH9U6Vh2zw
31,"Como É Que a Gente Fica - Ao Vivo","Henrique & Juliano",705075,https://open.spotify.com/track/41mt7YrfLrIc4EQJZFCJtw
32,Mercy,"Shawn Mendes",702763,https://open.spotify.com/track/3OalxlWH0v14kyBcNBMINt
33,"Sosseguei - Ao Vivo","Jorge & Mateus",686034,https://open.spotify.com/track/1xFgXCY8Zvo76gHg4RgUaU
34,"This Is What You Came For","Calvin Harris",662639,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y
35,"Na Hora da Raiva - Ao Vivo","Henrique & Juliano",660743,https://open.spotify.com/track/0Zu7NVn4IvfYuEIrD11UVr
36,"Don't Let Me Down","The Chainsmokers",657833,https://open.spotify.com/track/1i1fxkWeaMmKEB4T7zqbzK
37,"Ela Só Quer Paz",Projota,644601,https://open.spotify.com/track/3mTUqLbtWm2DAEwvQTyu4d
38,"Cheap Thrills",Sia,634085,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j
39,"Vou Voando - Ao Vivo","Jorge & Mateus",629470,https://open.spotify.com/track/1WCn5QBp0Kl9uHrR0J02GS
40,"Homem de Família - Ao Vivo","Gusttavo Lima",628372,https://open.spotify.com/track/12wiyBZqQ3mOU7AfygXJCw
41,"Pra Sempre Com Você - Ao Vivo","Jorge & Mateus",626396,https://open.spotify.com/track/2KGv51jgAz8OTjNPyRryfq
42,"A Rosa E O Beija-Flor - Na Praia / Ao Vivo","Matheus & Kauan",625190,https://open.spotify.com/track/4GQVVsUnMbZeKIx9vguKlg
43,"Flor e o Beija-Flor - Ao Vivo","Henrique & Juliano",624864,https://open.spotify.com/track/0phVJ23NJlruwtt1XCm94N
44,"Hymn For The Weekend - Seeb Remix",Coldplay,621884,https://open.spotify.com/track/6s3GEN8wK0OMzzzZbXj0fu
45,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",612412,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
46,"Nada Nada - Ao Vivo","Henrique & Juliano",603461,https://open.spotify.com/track/0GR7ZABhVF9GbxghIx2RRv
47,"Impasse - Ao Vivo","Marília Mendonça",600528,https://open.spotify.com/track/5s2ydrmJOiPeZGx4S4X8Aw
48,Bom,Ludmilla,587504,https://open.spotify.com/track/25SL3ZSbEGtu4oU14xllMQ
49,Malandramente,"Dennis DJ",582802,https://open.spotify.com/track/7DRP2VOMpy1rrk3iYFLCW9
50,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",580448,https://open.spotify.com/track/17Fd6Yb7mSbinKG8LoWfFl
51,Chantaje,Shakira,555569,https://open.spotify.com/track/1WniHvhq9zTkny0WvGXX8o
52,"Estaca Zero","Luan Santana",528538,https://open.spotify.com/track/5OZqnhkGUxuSuW2P7CzH7y
53,"O Que Falta Em Você Sou Eu - Ao Vivo","Marília Mendonça",517238,https://open.spotify.com/track/3XSefjiSHsD34F7clH84xa
54,"We Don't Talk Anymore (feat. Selena Gomez)","Charlie Puth",515604,https://open.spotify.com/track/06KyNuuMOX1ROXRhj787tj
55,Sorry,"Justin Bieber",497084,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ
56,Heathens,"Twenty One Pilots",488845,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr
57,"Que Sorte A Nossa - Live At Vila Mix, Brasília / 2015","Matheus & Kauan",487911,https://open.spotify.com/track/4rWCLK8mfQ6JpArmgIT8aK
58,"Fala a Verdade - Ao Vivo","Maiara & Maraisa",476820,https://open.spotify.com/track/3QhJAGDdxt749dFveYVy4M
59,"All We Know","The Chainsmokers",476598,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK
60,"Você Merece Cachê - Ao Vivo","Israel Novaes",476029,https://open.spotify.com/track/1ypcU9264wnBwPvmrIy4fx
61,"Parece Piada - Ao Vivo","Henrique & Juliano",461183,https://open.spotify.com/track/3cS6YsU197mrdPTyR7nbp7
62,"Amei Te Ver (Acústica) - Acústica","Tiago Iorc",457078,https://open.spotify.com/track/0bX2gnECXZJ5nt7rcIZMVM
63,"Nada Bom II","Costa Gold",455990,https://open.spotify.com/track/0Mh4id8WvrTFOB9RiVitrB
64,"Suíte 14 - Ao Vivo","Henrique & Diego",455093,https://open.spotify.com/track/4lbPwb1Beo7JU2VwuJRTeR
65,"Seu Polícia - Ao Vivo","Zé Neto & Cristiano",454817,https://open.spotify.com/track/7CmuLM2vfzA78iHeqastoP
66,Fantasma,"Luan Santana",453557,https://open.spotify.com/track/5Nw3HvX6k8cB7NjEkqJkij
67,Alarm,Anne-Marie,448265,https://open.spotify.com/track/0OwX5aROoW1Iip8FV51Efg
68,"Bumbum Granada","Mc's Zaac & Jerry",446369,https://open.spotify.com/track/4SCH5CuivFcShLpTg8lYOf
69,"Cake By The Ocean",DNCE,446122,https://open.spotify.com/track/2aFiaMXmWsM3Vj72F9ksBl
70,"Quase um Casal - Ao Vivo","Maiara & Maraisa",445272,https://open.spotify.com/track/3BhctwMUY5Y9xmes194QTq
71,"Shout Out to My Ex","Little Mix",432657,https://open.spotify.com/track/0YHUITU3w6ws1v8ehT264g
72,"Send My Love (To Your New Lover)",Adele,430521,https://open.spotify.com/track/4BHzQ9C00ceJxfG16AlNWb
73,"Incerteza - Na Praia / Ao Vivo","Matheus & Kauan",429877,https://open.spotify.com/track/1FTsXXwai3jVXhBTLd4e4L
74,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",427239,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
75,"Work from Home","Fifth Harmony",424311,https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb
76,"This Girl (Kungs Vs. Cookin' On 3 Burners) - Kungs Vs. Cookin' On 3 Burners",Kungs,423458,https://open.spotify.com/track/0tICYNayWWhH9GPeFrfjfD
77,Starving,"Hailee Steinfeld",422980,https://open.spotify.com/track/6DG2g1UhROp5pnM8fx7zH2
78,"Scars To Your Beautiful","Alessia Cara",422493,https://open.spotify.com/track/42ydLwx4i5V49RXHOozJZq
79,Work,Rihanna,420003,https://open.spotify.com/track/14WWzenpaEgQZlqPq2nk4v
80,"Amei Te Ver","Tiago Iorc",415170,https://open.spotify.com/track/709JwRc9hLS8fjfgXlwxA5
81,"Faz Parte - Ao Vivo",Projota,414700,https://open.spotify.com/track/0J1TzQOuHyS7KA6Sq33flE
82,"Stressed Out","Twenty One Pilots",414557,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
83,"Tudo de Bom","Mc Livinho",414358,https://open.spotify.com/track/5XRtwljsug3r3XOBy9Bndu
84,"Aquele 1% - Ao Vivo","Marcos & Belutti",411347,https://open.spotify.com/track/62LiYpeFoJaixqkaNRGg47
85,"Te Assumi Pro Brasil - Na Praia 2 / Ao Vivo","Matheus & Kauan",405146,https://open.spotify.com/track/4JWvILyOVmhPqXgSSjVB4p
86,"Ain't My Fault","Zara Larsson",400708,https://open.spotify.com/track/4nA0biSjtvOL41Hd9MBXqR
87,"Na Ponta Ela Fica","Mc Delano",399563,https://open.spotify.com/track/1OtZIaJBXo3Pe6nfaMsjKT
88,"Essa mina é louca (Participação especial Jhama)",Anitta,398196,https://open.spotify.com/track/5Bn6W4bwH7Bw5nMvn8V4xF
89,Ride,"Twenty One Pilots",394156,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW
90,"Say You Won't Let Go","James Arthur",385944,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
91,Capsize,FRENSHIP,380625,https://open.spotify.com/track/3GBlLqIYgB8zWaeWDNJzdh
